Date,close,high,low,open,volume
5/22/2006,2.263571501,2.285357237,2.241785765,2.281071424,718975600
5/23/2006,2.255357027,2.328214169,2.25,2.316428661,694414000
5/24/2006,2.262142897,2.27321434,2.198571444,2.249642849,916031200
5/25/2006,2.297499895,2.301785707,2.260357141,2.295000076,463372000
5/26/2006,2.26964283,2.305714369,2.255000114,2.296785831,432950000
5/30/2006,2.186428547,2.260714293,2.186428547,2.260357141,563402000
5/31/2006,2.134642839,2.206785679,2.096071482,2.205714226,1280977600
6/1/2006,2.22035718,2.224285603,2.125714302,2.137500048,942508000
6/2/2006,2.202142954,2.25357151,2.17428565,2.249642849,685787200
6/5/2006,2.142857075,2.18392849,2.141785622,2.18392849,605785600
6/6/2006,2.132857084,2.165357113,2.103928566,2.150714397,726037200
6/7/2006,2.091428518,2.157142878,2.083928585,2.146428585,750506400
6/8/2006,2.170000076,2.176071405,2.041071415,2.087142944,1397482800
6/9/2006,2.115714312,2.198571444,2.110714197,2.184999943,775838000
6/12/2006,2.035714388,2.133214235,2.034285784,2.12142849,717785600
6/13/2006,2.083214283,2.110714197,2.048571348,2.057499886,1080643200
6/14/2006,2.057499886,2.099285603,2.024642944,2.081428528,878136000
6/15/2006,2.120714188,2.133571386,2.026785612,2.04642868,1190383600
6/16/2006,2.055714369,2.113928556,2.054285765,2.105714321,838101600
6/19/2006,2.04285717,2.077857256,2.035714388,2.065357208,704575200
6/20/2006,2.05250001,2.083928585,2.046071529,2.057499886,672974400
6/21/2006,2.066428661,2.096785784,2.04642868,2.062142849,863296000
6/22/2006,2.127857208,2.133928537,2.073928595,2.07857132,965633200
6/23/2006,2.101071358,2.148928642,2.097500086,2.132857084,660203600
6/26/2006,2.106785774,2.114285707,2.084642887,2.113214254,466536000
6/27/2006,2.051071405,2.11500001,2.049999952,2.110357046,550611600
6/28/2006,2.000714302,2.04642868,1.978928566,2.046071529,850704400
6/29/2006,2.106071472,2.110357046,2.013928652,2.027142763,873398400
6/30/2006,2.045357227,2.0625,2.017857075,2.056785822,739695600
7/3/2006,2.069642782,2.077857256,2.047857046,2.054285765,194770800
7/5/2006,2.035714388,2.057142973,2.019999981,2.041071415,518240800
7/6/2006,1.991785765,2.049999952,1.986071467,2.038928509,633208800
7/7/2006,1.978571415,2.01964283,1.952499986,1.981428623,799360800
7/10/2006,1.964285731,2.017499924,1.946428537,1.989285707,529345600
7/11/2006,1.987499952,1.999642849,1.94749999,1.968214273,825022800
7/12/2006,1.89142859,1.972857118,1.889999986,1.97035718,927329200
7/13/2006,1.866071463,1.932857156,1.836071372,1.858214259,1249906000
7/14/2006,1.809642911,1.888928533,1.791428566,1.875,993036800
7/17/2006,1.870357156,1.896785736,1.844642878,1.847499967,1024542400
7/18/2006,1.889285684,1.923214316,1.85178566,1.898571372,1000448400
7/19/2006,1.932142854,1.96714282,1.870000005,1.89142859,1390743200
7/20/2006,2.160714388,2.199642897,2.132857084,2.177142859,1972146400
7/21/2006,2.168571472,2.18392849,2.130000114,2.136428595,891892400
7/24/2006,2.193571329,2.217857122,2.158214331,2.187857151,722856400
7/25/2006,2.211785793,2.217499971,2.170714378,2.206428528,589069600
7/26/2006,2.281071424,2.308571339,2.202857256,2.214285612,898427600
7/27/2006,2.264285803,2.322142839,2.244999886,2.303571463,735044800
